om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
670961,2023,01,02,2023-01-02,16:33:00,3,OK,40,0,0.75,0,0,0,0,36.0500,-95.7800,36.0500,-95.7800,0,0,0,0,0,143,0,0,0
670962,2023,01,02,2023-01-02,17:49:00,3,OK,40,0,1.00,0,0,0,0,35.3465,-95.5772,35.3465,-95.5772,0,0,0,0,0,91,0,0,0
670963,2023,01,02,2023-01-02,17:55:00,3,OK,40,0,1.50,0,0,15000,0,35.4915,-95.4512,35.4915,-95.4512,0,0,0,0,0,91,0,0,0
670964,2023,01,02,2023-01-02,18:06:00,3,OK,40,0,0.88,0,0,0,0,35.5200,-95.4111,35.5200,-95.4111,0,0,0,0,0,91,0,0,0
670965,2023,01,02,2023-01-02,18:39:00,3,OK,40,0,1.00,0,0,0,0,35.8364,-95.1022,35.8364,-95.1022,0,0,0,0,0,21,0,0,0
670966,2023,01,02,2023-01-02,19:05:00,3,LA,22,0,1.00,0,0,0,0,32.4608,-92.2938,32.4608,-92.2938,0,0,0,0,0,73,0,0,0
670967,2023,01,03,2023-01-03,02:15:00,3,TX,48,0,1.50,0,0,0,0,31.7760,-94.8360,31.7760,-94.8360,0,0,0,0,0,347,0,0,0
670968,2023,01,03,2023-01-03,03:10:00,3,TX,48,0,1.00,0,0,0,0,32.1468,-94.3396,32.1468,-94.3396,0,0,0,0,0,365,0,0,0
670969,2023,01,03,2023-01-03,14:14:00,3,IL,17,0,1.00,0,0,0,0,42.0500,-88.2700,42.0500,-88.2700,0,0,0,0,0,89,0,0,0
670970,2023,01,03,2023-01-03,14:24:00,3,AL,01,0,1.00,0,0,0,0,32.3700,-86.2600,32.3700,-86.2600,0,0,0,0,0,101,0,0,0
670971,2023,01,03,2023-01-03,14:53:00,3,IL,17,0,1.00,0,0,0,0,42.3500,-87.8400,42.3500,-87.8400,0,0,0,0,0,97,0,0,0
670972,2023,01,03,2023-01-03,14:58:00,3,LA,22,0,1.00,0,0,0,0,31.3600,-91.9000,31.3600,-91.9000,0,0,0,0,0,25,0,0,0
670973,2023,01,03,2023-01-03,15:15:00,3,LA,22,0,1.00,0,0,0,0,31.4300,-91.7500,31.4300,-91.7500,0,0,0,0,0,29,0,0,0
670974,2023,01,03,2023-01-03,16:05:00,3,IL,17,0,0.88,0,0,0,0,39.5800,-89.5800,39.5800,-89.5800,0,0,0,0,0,167,0,0,0
670975,2023,01,03,2023-01-03,16:15:00,3,MS,28,0,1.00,0,0,0,0,31.6800,-91.1900,31.6800,-91.1900,0,0,0,0,0,63,0,0,0
670976,2023,01,03,2023-01-03,16:32:00,3,LA,22,0,1.00,0,0,0,0,30.8200,-92.6600,30.8200,-92.6600,0,0,0,0,0,3,0,0,0
670977,2023,01,03,2023-01-03,17:03:00,3,MS,28,0,1.25,0,0,0,0,31.5000,-91.4200,31.5000,-91.4200,0,0,0,0,0,1,0,0,0
670978,2023,01,03,2023-01-03,17:06:00,3,MS,28,0,1.75,0,0,0,0,31.5200,-91.3900,31.5200,-91.3900,0,0,0,0,0,1,0,0,0
670979,2023,01,03,2023-01-03,17:06:00,3,MS,28,0,1.00,0,0,0,0,31.5300,-91.3900,31.5300,-91.3900,0,0,0,0,0,1,0,0,0
670980,2023,01,03,2023-01-03,17:07:00,3,IL,17,0,1.75,0,0,0,0,40.2200,-88.7200,40.2200,-88.7200,0,0,0,0,0,39,0,0,0
670981,2023,01,03,2023-01-03,17:17:00,3,IL,17,0,1.50,0,0,0,0,40.2500,-88.6300,40.2500,-88.6300,0,0,0,0,0,39,0,0,0
670982,2023,01,03,2023-01-03,17:34:00,3,IL,17,0,0.88,0,0,0,0,40.4800,-88.9200,40.4800,-88.9200,0,0,0,0,0,113,0,0,0
670983,2023,01,03,2023-01-03,18:15:00,3,MS,28,0,1.25,0,0,0,0,32.6500,-89.4900,32.6500,-89.4900,0,0,0,0,0,79,0,0,0
670984,2023,01,03,2023-01-03,19:11:00,3,MS,28,0,1.25,0,0,0,0,33.4000,-89.1600,33.4000,-89.1600,0,0,0,0,0,19,0,0,0
670985,2023,01,03,2023-01-03,19:30:00,3,MS,28,0,1.00,0,0,0,0,31.7000,-89.1400,31.7000,-89.1400,0,0,0,0,0,67,0,0,0
670986,2023,01,03,2023-01-03,19:44:00,3,MS,28,0,1.00,0,0,0,0,31.6700,-89.1100,31.6700,-89.1100,0,0,0,0,0,67,0,0,0
670987,2023,01,03,2023-01-03,19:57:00,3,MS,28,0,1.00,0,0,0,0,31.5100,-91.0800,31.5100,-91.0800,0,0,0,0,0,37,0,0,0
670988,2023,01,03,2023-01-03,22:20:00,3,MS,28,0,1.00,0,0,0,0,33.0500,-89.0600,33.0500,-89.0600,0,0,0,0,0,159,0,0,0
670989,2023,01,03,2023-01-03,22:35:00,3,MS,28,0,1.00,0,0,0,0,31.7000,-89.2100,31.7000,-89.2100,0,0,0,0,0,67,0,0,0
670990,2023,01,03,2023-01-03,22:43:00,3,MS,28,0,1.00,0,0,0,0,33.6000,-88.4300,33.6000,-88.4300,0,0,0,0,0,87,0,0,0
670991,2023,01,03,2023-01-03,22:45:00,3,MS,28,0,1.75,0,0,50000,0,31.8200,-89.1700,31.8200,-89.1700,0,0,0,0,0,61,0,0,0
670992,2023,01,03,2023-01-03,22:45:00,3,MS,28,0,1.00,0,0,0,0,31.7700,-89.1600,31.7700,-89.1600,0,0,0,0,0,67,0,0,0
670993,2023,01,03,2023-01-03,23:04:00,3,MS,28,0,1.25,0,0,0,0,31.8900,-89.0400,31.8900,-89.0400,0,0,0,0,0,61,0,0,0
670994,2023,01,03,2023-01-03,23:20:00,3,MS,28,0,1.00,0,0,0,0,32.0400,-88.7900,32.0400,-88.7900,0,0,0,0,0,23,0,0,0
670995,2023,01,03,2023-01-03,23:47:00,3,LA,22,0,1.25,0,0,0,0,30.4200,-91.1000,30.4200,-91.1000,0,0,0,0,0,33,0,0,0
670996,2023,01,03,2023-01-03,23:50:00,3,TN,47,0,1.00,0,0,0,0,35.5300,-87.5300,35.5300,-87.5300,0,0,0,0,0,101,0,0,0
670997,2023,01,03,2023-01-03,23:51:00,3,TN,47,0,1.00,0,0,0,0,35.4902,-87.5547,35.4902,-87.5547,0,0,0,0,0,101,0,0,0
670998,2023,01,04,2023-01-04,00:01:00,3,TN,47,0,0.75,0,0,0,0,35.5300,-87.5300,35.5300,-87.5300,0,0,0,0,0,101,0,0,0
670999,2023,01,04,2023-01-04,00:56:00,3,LA,22,0,1.00,0,0,0,0,29.5700,-90.7400,29.5700,-90.7400,0,0,0,0,0,109,0,0,0
671000,2023,01,04,2023-01-04,04:00:00,3,AL,01,0,1.00,0,0,0,0,32.5480,-85.5290,32.5480,-85.5290,0,0,0,0,0,81,0,0,0
671001,2023,01,04,2023-01-04,13:13:00,3,GA,13,0,1.75,0,0,0,0,30.9600,-81.7100,30.9600,-81.7100,0,0,0,0,0,39,0,0,0
