om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
622081,2023,01,02,2023-01-02,11:47:00,3,AR,05,0,1,0,0,25000,0,33.2939,-92.7057,33.2965,-92.7030,0.2400,350,1,1,1,139,0,0,0,0
622082,2023,01,02,2023-01-02,14:38:00,3,AR,05,0,1,2,0,5000000,0,34.6940,-93.0673,34.7208,-93.0503,2.0900,200,1,1,1,51,0,0,0,0
622083,2023,01,02,2023-01-02,15:11:00,3,LA,22,0,1,0,0,15000,0,31.7499,-93.4807,31.8192,-93.4460,5.2000,70,1,1,1,85,0,0,0,0
622084,2023,01,02,2023-01-02,15:43:00,3,LA,22,0,0,0,0,10000,0,32.0582,-93.2735,32.0626,-93.2729,0.3100,50,1,1,1,81,0,0,0,0
622085,2023,01,02,2023-01-02,16:37:00,3,OK,40,0,-9,0,0,0,0,36.7218,-96.6194,36.7219,-96.6174,0.1000,100,1,1,1,113,0,0,0,0
622086,2023,01,02,2023-01-02,16:46:00,3,LA,22,0,2,3,0,850000,0,32.1720,-92.7048,32.3646,-92.5957,14.7600,1928,1,1,1,49,0,0,0,0
622087,2023,01,02,2023-01-02,17:32:00,3,OK,40,0,0,0,0,50000,0,36.3460,-95.2980,36.3970,-95.2280,5.3000,700,1,1,1,97,0,0,0,0
622088,2023,01,02,2023-01-02,17:52:00,3,OK,40,0,1,0,0,100000,0,35.3200,-95.4740,35.4130,-95.3740,8.6000,650,1,1,1,91,0,0,0,0
622089,2023,01,02,2023-01-02,18:19:00,3,LA,22,0,2,0,0,250000,0,32.7840,-92.1695,32.8271,-92.1251,3.9400,900,1,1,1,111,0,0,0,0
622090,2023,01,02,2023-01-02,18:23:00,3,OK,40,0,1,0,0,75000,0,36.7060,-94.8740,36.7130,-94.8670,0.6000,200,1,1,1,115,0,0,0,0
622091,2023,01,02,2023-01-02,18:36:00,3,LA,22,0,1,0,0,10000,0,32.8681,-91.8982,32.8831,-91.8813,1.4300,75,1,1,1,67,0,0,0,0
622092,2023,01,02,2023-01-02,18:40:00,3,LA,22,0,1,0,0,100000,0,32.9539,-91.8686,32.9869,-91.8129,3.9500,200,1,1,1,67,0,0,0,0
622093,2023,01,02,2023-01-02,18:54:00,3,AR,05,0,2,0,0,705000,0,33.0416,-91.7697,33.5342,-91.3250,42.7700,1300,1,1,1,3,17,41,0,0
622094,2023,01,02,2023-01-02,19:25:00,3,OK,40,0,-9,0,0,0,0,35.4105,-94.9746,35.4100,-94.9317,2.5000,200,1,1,1,135,0,0,0,0
622095,2023,01,02,2023-01-02,21:02:00,3,LA,22,0,0,0,0,120000,0,32.9621,-91.4023,33.0123,-91.3775,3.8100,250,2,0,1,0,0,0,0,0
622095,2023,01,02,2023-01-02,21:02:00,3,LA,22,0,0,0,0,100000,0,32.9621,-91.4023,33.0060,-91.3770,3.3700,250,2,1,2,123,0,0,0,0
622095,2023,01,02,2023-01-02,21:07:00,3,AR,05,0,0,0,0,20000,0,33.0060,-91.3770,33.0123,-91.3775,0.4400,250,2,1,2,17,0,0,0,0
622096,2023,01,03,2023-01-03,02:24:00,3,TN,47,0,0,0,0,35000,0,35.5450,-89.2870,35.5710,-89.2590,2.3900,100,1,1,1,75,0,0,0,0
622097,2023,01,03,2023-01-03,04:35:00,3,KY,21,0,0,0,0,30000,0,36.8370,-87.5283,36.8467,-87.5100,1.2100,50,1,1,1,47,0,0,0,0
622098,2023,01,03,2023-01-03,06:05:00,3,MS,28,0,0,0,0,25000,0,34.9561,-89.7784,34.9561,-89.7543,1.3600,100,1,1,1,33,0,0,0,0
622099,2023,01,03,2023-01-03,09:07:00,3,MS,28,0,1,0,0,75000,0,34.4851,-89.2079,34.4744,-89.1780,1.8600,150,1,1,1,145,0,0,0,0
622100,2023,01,03,2023-01-03,10:48:00,3,AL,01,0,1,0,0,0,0,34.5382,-87.8899,34.5439,-87.8821,0.6000,70,1,1,1,59,0,0,0,0
622101,2023,01,03,2023-01-03,11:21:00,3,AL,01,0,1,0,0,0,0,32.4151,-87.7827,32.5108,-87.6826,8.8400,275,1,1,1,91,65,0,0,0
622102,2023,01,03,2023-01-03,12:10:00,3,AL,01,0,1,0,0,0,0,32.6835,-87.3491,32.6848,-87.3469,0.1500,100,1,1,1,105,0,0,0,0
622103,2023,01,03,2023-01-03,12:41:00,3,AL,01,0,0,0,0,0,0,32.8493,-87.0548,32.8737,-87.0158,2.8200,100,1,1,1,7,0,0,0,0
622104,2023,01,03,2023-01-03,13:18:00,3,AL,01,0,0,0,0,0,0,32.5609,-86.5972,32.5841,-86.5506,3.1800,60,1,1,1,1,0,0,0,0
622105,2023,01,03,2023-01-03,13:39:00,3,AL,01,0,1,0,0,0,0,32.9880,-86.5264,33.0059,-86.4899,2.4600,250,1,1,1,21,37,0,0,0
622106,2023,01,03,2023-01-03,13:42:00,3,AL,01,0,2,0,0,0,0,32.6239,-86.4098,32.6747,-86.2678,9.0600,800,1,1,1,51,0,0,0,0
622107,2023,01,03,2023-01-03,14:31:00,3,AL,01,0,0,0,0,0,0,33.2350,-86.0693,33.2769,-85.9707,6.4100,300,1,1,1,27,0,0,0,0
622108,2023,01,03,2023-01-03,15:17:00,3,AL,01,0,0,0,0,0,0,33.3464,-85.6469,33.3542,-85.6304,1.1100,150,1,1,1,111,0,0,0,0
622109,2023,01,03,2023-01-03,15:27:00,3,AL,01,0,0,0,0,0,0,33.0648,-85.4433,33.1054,-85.3852,4.4000,500,1,1,1,17,0,0,0,0
622110,2023,01,03,2023-01-03,15:52:00,3,IL,17,0,-9,0,0,0,0,39.8744,-89.2868,39.8753,-89.2855,0.0900,10,1,1,1,167,0,0,0,0
622111,2023,01,03,2023-01-03,16:05:00,3,IL,17,0,-9,0,0,0,0,39.9435,-89.2047,39.9437,-89.2042,0.0300,10,1,1,1,107,0,0,0,0
622112,2023,01,03,2023-01-03,16:33:00,3,IL,17,0,0,0,0,0,0,40.0109,-89.0144,40.0136,-89.0096,0.3200,25,1,1,1,115,0,0,0,0
622113,2023,01,03,2023-01-03,16:35:00,3,IL,17,0,1,0,0,0,0,40.0373,-88.9714,40.0462,-88.9595,0.8800,75,1,1,1,115,0,0,0,0
622114,2023,01,03,2023-01-03,16:42:00,3,GA,13,0,0,0,0,0,0,33.3844,-84.7192,33.3870,-84.7089,0.6200,150,1,1,1,77,0,0,0,0
622115,2023,01,03,2023-01-03,17:05:00,3,IL,17,0,-9,0,0,0,0,39.7852,-89.1960,39.7866,-89.1942,0.1400,10,1,1,1,21,0,0,0,0
622116,2023,01,03,2023-01-03,17:25:00,3,GA,13,0,0,0,0,0,0,33.6834,-84.1400,33.6810,-84.1376,0.2500,100,1,1,1,89,0,0,0,0
622117,2023,01,03,2023-01-03,17:38:00,3,IL,17,0,1,0,0,0,0,40.3200,-88.4810,40.3240,-88.4740,0.4600,25,1,1,1,113,0,0,0,0
622118,2023,01,03,2023-01-03,17:56:00,3,IL,17,0,1,0,0,0,0,40.4220,-88.3670,40.4490,-88.3240,2.9000,25,1,1,1,53,0,0,0,0
622119,2023,01,03,2023-01-03,18:00:00,3,IL,17,0,1,0,0,0,0,39.8643,-88.9289,39.8656,-88.9254,0.2100,25,1,1,1,115,0,0,0,0
622120,2023,01,03,2023-01-03,18:05:00,3,IL,17,0,0,0,0,0,0,39.8822,-88.8946,39.8903,-88.8762,1.1200,20,1,1,1,115,0,0,0,0
622121,2023,01,03,2023-01-03,22:47:00,3,MS,28,0,1,0,0,50000,0,31.7617,-89.1008,31.7730,-89.0584,2.6100,365,1,1,1,67,0,0,0,0
622122,2023,01,04,2023-01-04,02:59:00,3,AL,01,0,1,0,0,0,0,32.8837,-85.9362,32.9159,-85.8840,3.7700,125,1,1,1,123,0,0,0,0
622123,2023,01,04,2023-01-04,03:00:00,3,AL,01,0,1,1,0,0,0,32.3467,-86.1964,32.3520,-86.1653,1.8700,130,1,1,1,101,0,0,0,0
622124,2023,01,04,2023-01-04,03:23:00,3,AL,01,0,0,0,0,0,0,32.3840,-85.9258,32.3907,-85.9175,0.6700,75,1,1,1,87,0,0,0,0
622125,2023,01,04,2023-01-04,04:02:00,3,GA,13,0,1,0,0,0,0,33.4071,-85.1896,33.4177,-85.1492,2.4500,100,1,1,1,149,0,0,0,0
