om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
731187,2023,01,01,2023-01-01,17:50:00,3,AZ,04,0,43.0000,0,0,7000,0,32.4500,-111.2200,32.4500,-111.2200,0,0,0,0,0,19,0,0,0,EG
731188,2023,01,02,2023-01-02,01:29:00,3,TN,47,0,52.0000,0,0,0,0,35.1400,-90.0000,35.1400,-90.0000,0,0,0,0,0,157,0,0,0,MG
731189,2023,01,02,2023-01-02,09:07:00,3,MS,28,0,50.0000,0,0,5000,0,33.9800,-89.2900,33.9800,-89.2900,0,0,0,0,0,13,0,0,0,EG
731190,2023,01,02,2023-01-02,09:38:00,3,MS,28,0,50.0000,0,0,5000,0,34.8800,-88.6300,34.8800,-88.6300,0,0,0,0,0,3,0,0,0,EG
731191,2023,01,02,2023-01-02,10:06:00,3,MS,28,0,50.0000,0,0,20000,0,34.4300,-88.4800,34.4300,-88.4800,0,0,0,0,0,57,0,0,0,EG
731192,2023,01,02,2023-01-02,10:06:00,3,MS,28,0,50.0000,0,0,5000,0,34.4500,-88.4400,34.4500,-88.4400,0,0,0,0,0,57,0,0,0,EG
731193,2023,01,02,2023-01-02,10:08:00,3,MS,28,0,50.0000,0,0,10000,0,34.4310,-88.4740,34.4310,-88.4740,0,0,0,0,0,57,0,0,0,EG
731194,2023,01,02,2023-01-02,10:26:00,3,MS,28,0,65.0000,0,0,25000,0,34.4900,-88.1900,34.4900,-88.1900,0,0,0,0,0,141,0,0,0,EG
731195,2023,01,02,2023-01-02,17:55:00,3,LA,22,0,56.0000,0,0,0,0,32.5247,-92.3091,32.5247,-92.3091,0,0,0,0,0,73,0,0,0,EG
731196,2023,01,02,2023-01-02,18:24:00,3,LA,22,0,56.0000,0,0,0,0,32.8789,-92.1495,32.8789,-92.1495,0,0,0,0,0,111,0,0,0,EG
731197,2023,01,02,2023-01-02,18:30:00,3,OK,40,0,61.0000,0,0,10000,0,35.6081,-95.2726,35.6081,-95.2726,0,0,0,0,0,101,0,0,0,EG
731198,2023,01,02,2023-01-02,18:36:00,3,LA,22,0,52.0000,0,0,3000,0,32.8900,-92.0200,32.8900,-92.0200,0,0,0,0,0,67,0,0,0,EG
731199,2023,01,02,2023-01-02,18:38:00,3,LA,22,0,52.0000,0,0,15000,0,32.8200,-91.8000,32.8200,-91.8000,0,0,0,0,0,67,0,0,0,EG
731200,2023,01,02,2023-01-02,18:39:00,3,OK,40,0,65.0000,0,0,0,0,35.8364,-95.1022,35.8364,-95.1022,0,0,0,0,0,21,0,0,0,EG
731201,2023,01,02,2023-01-02,18:45:00,3,LA,22,0,52.0000,0,0,2000,0,32.9700,-91.8300,32.9700,-91.8300,0,0,0,0,0,67,0,0,0,EG
731202,2023,01,02,2023-01-02,19:17:00,3,AR,05,0,52.0000,0,0,10000,0,33.2100,-91.4600,33.2100,-91.4600,0,0,0,0,0,17,0,0,0,EG
731203,2023,01,02,2023-01-02,19:17:00,3,AR,05,0,61.0000,0,0,100000,0,33.2300,-91.4900,33.2300,-91.4900,0,0,0,0,0,3,0,0,0,EG
731204,2023,01,02,2023-01-02,19:23:00,3,AR,05,0,52.0000,0,0,10000,0,33.2900,-91.5100,33.2900,-91.5100,0,0,0,0,0,3,0,0,0,EG
731205,2023,01,02,2023-01-02,19:24:00,3,AR,05,0,52.0000,0,0,50000,0,33.3000,-91.5000,33.3000,-91.5000,0,0,0,0,0,3,0,0,0,EG
731206,2023,01,02,2023-01-02,19:36:00,3,AR,05,0,51.0000,0,0,0,0,33.4200,-91.3700,33.4200,-91.3700,0,0,0,0,0,17,0,0,0,MG
731207,2023,01,02,2023-01-02,19:40:00,3,LA,22,0,61.0000,0,0,0,0,32.4474,-93.5989,32.4474,-93.5989,0,0,0,0,0,15,0,0,0,EG
731208,2023,01,02,2023-01-02,19:40:00,3,AR,05,0,50.0000,0,0,0,0,33.3500,-91.3200,33.3500,-91.3200,0,0,0,0,0,17,0,0,0,MG
731209,2023,01,02,2023-01-02,19:50:00,3,LA,22,0,56.0000,0,0,0,0,32.4096,-93.5389,32.4096,-93.5389,0,0,0,0,0,15,0,0,0,EG
731210,2023,01,02,2023-01-02,19:50:00,3,LA,22,0,56.0000,0,0,0,0,32.5578,-93.5495,32.5578,-93.5495,0,0,0,0,0,15,0,0,0,EG
731211,2023,01,02,2023-01-02,19:50:00,3,LA,22,0,65.0000,0,0,0,0,32.4104,-93.5399,32.4104,-93.5399,0,0,0,0,0,15,0,0,0,EG
731212,2023,01,02,2023-01-02,20:15:00,3,LA,22,0,56.0000,0,0,0,0,32.9059,-93.0864,32.9059,-93.0864,0,0,0,0,0,27,0,0,0,EG
731213,2023,01,02,2023-01-02,20:20:00,3,LA,22,0,56.0000,0,0,0,0,32.4445,-93.2512,32.4445,-93.2512,0,0,0,0,0,119,0,0,0,EG
731214,2023,01,02,2023-01-02,20:21:00,3,LA,22,0,52.0000,0,0,5000,0,32.6200,-91.7600,32.6200,-91.7600,0,0,0,0,0,67,0,0,0,EG
731215,2023,01,02,2023-01-02,20:27:00,3,LA,22,0,52.0000,0,0,0,0,33.0134,-92.7195,33.0134,-92.7195,0,0,0,0,0,111,0,0,0,EG
731216,2023,01,02,2023-01-02,20:37:00,3,LA,22,0,52.0000,0,0,25000,0,32.9200,-91.6700,32.9200,-91.6700,0,0,0,0,0,67,0,0,0,EG
731217,2023,01,02,2023-01-02,20:40:00,3,AR,05,0,65.0000,0,0,0,0,33.2448,-92.6998,33.2448,-92.6998,0,0,0,0,0,139,0,0,0,EG
731218,2023,01,02,2023-01-02,21:55:00,3,AR,05,0,52.0000,0,0,5000,0,33.9300,-91.8400,33.9300,-91.8400,0,0,0,0,0,79,0,0,0,EG
731219,2023,01,02,2023-01-02,22:10:00,3,AR,05,0,56.0000,0,0,0,0,33.1133,-93.5341,33.1133,-93.5341,0,0,0,0,0,73,0,0,0,EG
731220,2023,01,02,2023-01-02,23:20:00,3,KY,21,0,56.0000,0,0,1000,0,36.8602,-88.2428,36.8602,-88.2428,0,0,0,0,0,157,0,0,0,EG
731221,2023,01,03,2023-01-03,01:46:00,3,TN,47,0,50.0000,0,0,5000,0,35.4000,-89.6900,35.4000,-89.6900,0,0,0,0,0,167,0,0,0,EG
731222,2023,01,03,2023-01-03,02:00:00,3,KY,21,0,51.0000,0,0,0,0,37.1293,-86.7484,37.1293,-86.7484,0,0,0,0,0,31,0,0,0,EG
731223,2023,01,03,2023-01-03,02:05:00,3,KY,21,0,51.0000,0,0,0,0,37.4478,-86.2903,37.4478,-86.2903,0,0,0,0,0,85,0,0,0,EG
731224,2023,01,03,2023-01-03,03:20:00,3,KY,21,0,51.0000,0,0,0,0,37.4900,-85.8500,37.4900,-85.8500,0,0,0,0,0,123,0,0,0,EG
731225,2023,01,03,2023-01-03,03:25:00,3,KY,21,0,51.0000,0,0,0,0,37.5422,-85.7783,37.5422,-85.7783,0,0,0,0,0,123,0,0,0,EG
731226,2023,01,03,2023-01-03,03:30:00,3,KY,21,0,56.0000,0,0,6000,0,37.0134,-87.7202,37.0134,-87.7202,0,0,0,0,0,47,0,0,0,EG
731227,2023,01,03,2023-01-03,03:45:00,3,TN,47,0,50.0000,0,0,5000,0,36.2600,-88.1700,36.2600,-88.1700,0,0,0,0,0,79,0,0,0,EG
731228,2023,01,03,2023-01-03,04:11:00,3,LA,22,0,52.0000,0,0,0,0,32.4906,-93.7381,32.4906,-93.7381,0,0,0,0,0,17,0,0,0,EG
731229,2023,01,03,2023-01-03,04:21:00,3,LA,22,0,56.0000,0,0,0,0,32.3748,-93.6467,32.3748,-93.6467,0,0,0,0,0,17,0,0,0,EG
731230,2023,01,03,2023-01-03,04:25:00,3,LA,22,0,56.0000,0,0,0,0,32.3595,-93.5609,32.3595,-93.5609,0,0,0,0,0,15,0,0,0,EG
731231,2023,01,03,2023-01-03,04:25:00,3,KY,21,0,56.0000,0,0,5000,0,36.7466,-87.5199,36.7466,-87.5199,0,0,0,0,0,47,0,0,0,EG
731232,2023,01,03,2023-01-03,05:01:00,3,KY,21,0,56.0000,0,0,6000,0,36.8779,-87.1500,36.8779,-87.1500,0,0,0,0,0,219,0,0,0,EG
731233,2023,01,03,2023-01-03,05:30:00,3,TN,47,0,50.0000,0,0,10000,0,36.2866,-87.3456,36.2866,-87.3456,0,0,0,0,0,43,0,0,0,EG
