74455 DVN Davenport Observations at 18Z 31 Mar 2023
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     -4                                                               
  973.0    229   17.0   14.1     83  10.50    175     11  292.4  322.5  294.3
  969.0    264   16.2   12.3     78   9.35    182     14  292.0  318.8  293.6
  964.0    308   15.8   12.2     79   9.35    190     18  292.0  318.8  293.7
  957.0    370   15.3   12.1     81   9.34    185     17  292.1  318.9  293.8
  931.0    604   13.5   11.6     89   9.31    205     28  292.5  319.3  294.2
  930.0    613   13.4   11.6     89   9.30    206     28  292.6  319.3  294.2
  925.0    659   13.4   11.8     90   9.48    210     29  293.0  320.3  294.7
  914.0    760   13.8   12.6     92  10.12    216     33  294.4  323.7  296.2
  899.0    899   13.2   12.2     93  10.00    225     39  295.2  324.2  297.0
  883.0   1051   12.6   11.7     94   9.87    230     41  296.1  324.8  297.9
  867.0   1204   11.7   10.8     94   9.46    235     44  296.7  324.4  298.4
  850.0   1370   10.8    9.8     94   9.02    235     45  297.4  323.9  299.1
  778.0   2102    7.4    1.1     65   5.37    230     45  301.4  317.7  302.4
  761.0   2285    6.5   -1.0     59   4.69    230     46  302.4  316.8  303.2
  755.0   2351    6.2   -1.8     57   4.46    230     43  302.7  316.5  303.5
  742.0   2493    8.0  -14.0     19   1.75    230     37  306.2  312.0  306.5
  730.0   2627    7.0  -15.6     18   1.57    230     32  306.5  311.7  306.8
  700.0   2970    4.4  -19.6     16   1.16    240     36  307.3  311.3  307.5
  686.0   3134    3.4  -22.6     13   0.91    246     36  308.0  311.1  308.2
  677.0   3240    2.6  -20.7     16   1.09    250     36  308.2  312.0  308.4
  635.0   3755   -1.5  -11.5     46   2.51    245     47  309.3  317.5  309.8
  600.0   4200   -5.4  -17.5     38   1.62    240     57  309.8  315.3  310.1
  591.0   4319   -6.4  -19.1     36   1.44    240     52  310.0  314.9  310.2
  570.0   4603   -8.9  -22.9     31   1.07    239     53  310.3  314.0  310.5
  500.0   5600  -17.9  -22.3     68   1.29    235     57  311.1  315.6  311.4
  481.0   5885  -20.4  -23.8     74   1.17    235     61  311.6  315.6  311.8
  447.0   6424  -25.1  -26.7     86   0.97    235     58  312.2  315.6  312.4
  402.0   7185  -30.9  -40.9     37   0.27    235     54  314.3  315.3  314.4
  400.0   7220  -31.3  -41.3     37   0.26    235     54  314.2  315.2  314.3
  386.0   7471  -32.9  -39.6     51   0.32    240     52  315.3  316.5  315.4
  373.0   7713  -34.5  -38.0     70   0.39    238     57  316.3  317.8  316.4
  347.0   8215  -38.1  -42.4     64   0.26    234     68  318.1  319.1  318.1
  331.0   8539  -41.1  -43.8     75   0.24    231     75  318.2  319.2  318.3
  325.0   8662  -42.2  -45.2     72   0.21    230     78  318.4  319.2  318.4
  304.0   9112  -46.3  -50.4     63   0.12    230     81  318.8  319.3  318.8
  300.0   9200  -47.1  -50.9     65   0.12    230     81  318.9  319.3  318.9
  287.0   9489  -49.7  -52.6     71   0.10    231     85  319.2  319.6  319.2
  250.0  10370  -56.3  -59.7     65   0.05    235     96  322.2  322.4  322.2
  233.0  10815  -58.9  -62.9     60   0.03    245    105  324.9  325.0  324.9
  222.0  11120  -56.7  -61.7     53   0.04    248    110  332.8  332.9  332.8
  217.0  11264  -57.1  -62.8     49   0.04    250    113  334.3  334.5  334.3
  200.0  11780  -58.5  -66.5     35   0.02    255     84  340.0  340.1  340.0
  195.0  11939  -59.2  -67.7     33   0.02    255     78  341.3  341.4  341.3
  189.0  12135  -60.1  -69.1     30   0.02    250     86  342.9  343.0  342.9
  183.0  12338  -59.4  -69.2     27   0.02    245     94  347.3  347.4  347.3
  167.0  12913  -57.3  -69.3     20   0.02    248     76  359.9  360.0  359.9
  157.0  13302  -58.1  -70.7     18   0.02    250     64  365.0  365.1  365.0
  150.0  13590  -58.7  -71.7     17   0.02    245     74  368.8  368.8  368.8
  139.0  14067  -59.0  -73.4     14   0.01    250     81  376.4  376.4  376.4
  135.0  14249  -59.1  -74.1     13   0.01    249     79  379.3  379.4  379.3
  130.0  14486  -58.5  -74.5     11   0.01    248     76  384.5  384.6  384.5
  120.0  14986  -59.5  -76.5      9   0.01    245     70  391.6  391.6  391.6
  119.0  15039  -59.2  -76.5      9   0.01    245     69  393.0  393.1  393.0
  113.0  15363  -57.5  -76.5      7   0.01    248     78  402.1  402.1  402.1
  110.0  15533  -56.6  -76.4      7   0.01    250     83  406.9  407.0  406.9
  106.0  15768  -55.3  -76.3      6   0.01    253     72  413.7  413.7  413.7
  104.0  15889  -54.7  -76.0      5   0.01    255     67  417.0  417.1  417.0
  100.0  16140  -53.5  -75.5      5   0.01    255     71  424.1  424.2  424.1
   96.9  16343  -53.1  -76.1      4   0.01    259     57  428.7  428.8  428.7
   93.0  16604  -54.4  -77.6      4   0.01    265     38  431.2  431.3  431.2
   85.0  17175  -57.2  -80.8      4   0.01    250     17  436.7  436.8  436.7
   77.0  17803  -60.3  -84.3      3   0.00    235     25  442.8  442.8  442.8
   76.0  17885  -60.3  -84.3      3   0.00    235     27  444.5  444.5  444.5
   75.2  17951  -60.1  -84.1      3   0.00    235     29  446.2  446.3  446.2
   70.0  18400  -58.9  -82.9      3   0.01    235     42  458.0  458.1  458.0
   66.9  18685  -57.1  -81.1      3   0.01    232     33  467.9  467.9  467.9
   65.0  18865  -57.7  -81.5      3   0.01    230     27  470.4  470.4  470.4
   53.0  20139  -62.2  -84.3      4   0.01    280     10  488.4  488.4  488.4
   52.0  20258  -62.6  -84.6      4   0.01    265     12  490.1  490.1  490.1
   51.7  20294  -62.7  -84.7      4   0.01    269     12  490.6  490.6  490.6
   50.0  20500  -61.7  -84.7      3   0.01    290     15  497.7  497.7  497.7
   48.0  20755  -59.6  -82.6      4   0.01    255      8  508.4  508.5  508.4
   46.4  20967  -57.9  -80.9      4   0.01    267      7  517.5  517.6  517.5
   43.0  21443  -58.9  -81.2      4   0.01    295      6  526.4  526.5  526.4
   42.0  21590  -59.2  -81.3      4   0.01    275      8  529.2  529.3  529.2
   40.0  21896  -59.9  -81.5      4   0.01    305      5  535.0  535.1  535.0
   38.0  22217  -60.6  -81.7      5   0.01    240     10  541.1  541.3  541.2
   37.6  22283  -60.7  -81.7      5   0.01    246     12  542.4  542.5  542.4
   35.0  22733  -59.5  -80.8      5   0.02    290     23  556.8  557.0  556.9
   31.0  23494  -57.4  -79.3      5   0.02    345      4  582.1  582.3  582.1
   30.1  23679  -56.9  -78.9      5   0.03    224      6  588.4  588.6  588.4
   30.0  23700  -56.9  -78.9      5   0.03    210      6  588.9  589.2  588.9
   29.0  23914  -57.5  -79.1      5   0.03    245      6  593.1  593.4  593.1
   28.0  24135  -58.0  -79.3      5   0.03    195      8  597.5  597.8  597.5
   27.2  24318  -58.5  -79.5      5   0.03    224     11  601.2  601.4  601.2
   25.0  24853  -57.2  -78.5      5   0.03    310     18  619.6  619.9  619.6
   23.0  25383  -55.9  -77.4      5   0.04    320     12  638.4  638.8  638.4
   22.0  25665  -55.2  -76.9      5   0.05    235      4  648.6  649.1  648.6
   21.0  25960  -54.5  -76.3      5   0.06    320      6  659.5  660.0  659.5
   20.0  26270  -53.7  -75.7      5   0.07    235     11  671.0  671.7  671.1
   19.0  26602  -53.4  -75.5      5   0.07    235     22  682.0  682.7  682.0
   18.0  26952  -53.0  -75.2      5   0.08    265     10  693.7  694.5  693.7
   16.0  27714  -52.3  -74.6      5   0.10    300     21  719.9  720.9  719.9
   14.0  28579  -51.4  -74.0      5   0.12    330     14  750.8  752.1  750.8
   13.0  29058  -51.0  -73.6      5   0.14    300     15  768.5  770.0  768.5
   12.0  29576  -50.4  -73.2      5   0.16    315     17  788.1  789.8  788.1
   11.0  30140  -49.9  -72.8      5   0.18    260      7  809.9  812.0  810.0
   10.7  30319  -49.7  -72.7      5   0.19    261     10  817.0  819.2  817.1
   10.0  30760  -50.3  -72.3      6   0.22    265     17  830.7  833.3  830.8
    9.6  31025  -50.7  -72.7      6   0.21    279     15  838.9  841.5  839.0
    9.0  31449  -49.7  -71.9      6   0.26    300     12  858.3  861.4  858.5
    8.0  32223  -47.9  -70.5      6   0.35    290     33  894.8  899.2  895.0
    7.0  33100  -45.9  -68.9      6   0.51    260     26  938.0  944.6  938.3
    6.8  33293  -45.7  -68.7      6   0.54                946.6  953.7  946.9
